player,best_odds,implied_prob,best_bookie,scraped_at
Jagga Smith,1501.0,0.07,bet365,2026-07-28 12:52
Jeremy Cameron,1501.0,0.07,bet365,2026-07-28 12:52
Toby Greene,1501.0,0.07,bet365,2026-07-28 12:52
Jake Waterman,1501.0,0.07,bet365,2026-07-28 12:52
Caleb Daniel,2001.0,0.05,bet365,2026-07-28 12:52
Jake Soligo,2001.0,0.05,bet365,2026-07-28 12:52
Levi Ashcroft,2001.0,0.05,bet365,2026-07-28 12:52
Rhylee West,2001.0,0.05,bet365,2026-07-28 12:52
Tanner Bruhn,2001.0,0.05,bet365,2026-07-28 12:52
Lawson Humphries,2001.0,0.05,bet365,2026-07-28 12:52
Tom McCarthy,2001.0,0.05,bet365,2026-07-28 12:52
Ben Keays,2001.0,0.05,bet365,2026-07-28 12:52
Matthew Kennedy,2001.0,0.05,bet365,2026-07-28 12:52
Josh Dunkley,2001.0,0.05,bet365,2026-07-28 12:52
Rory Laird,2001.0,0.05,bet365,2026-07-28 12:52
Mark Blicavs,2001.0,0.05,bet365,2026-07-28 12:52
Josh Daicos,2001.0,0.05,bet365,2026-07-28 12:52
Jaspa Fletcher,2001.0,0.05,bet365,2026-07-28 12:52
Joel Freijah,2001.0,0.05,bet365,2026-07-28 12:52
Dion Prestia,2001.0,0.05,bet365,2026-07-28 12:52
Cam Rayner,2001.0,0.05,bet365,2026-07-28 12:52
Touk Miller,2001.0,0.05,bet365,2026-07-28 12:52
Scott Pendlebury,2001.0,0.05,bet365,2026-07-28 12:52
Tom Liberatore,2001.0,0.05,bet365,2026-07-28 12:52
Jack Crisp,2001.0,0.05,bet365,2026-07-28 12:52
Lachlan Ash,2001.0,0.05,bet365,2026-07-28 12:52
Josh Ward,2001.0,0.05,bet365,2026-07-28 12:52
James Worpel,2001.0,0.05,bet365,2026-07-28 12:52
Jordan Clark,2001.0,0.05,bet365,2026-07-28 12:52
Daniel Rioli,2001.0,0.05,bet365,2026-07-28 12:52
Tom Stewart,2001.0,0.05,bet365,2026-07-28 12:52
Marc Pittonet,2001.0,0.05,bet365,2026-07-28 12:52
Darcy Cameron,2001.0,0.05,bet365,2026-07-28 12:52
Jack Sinclair,2001.0,0.05,bet365,2026-07-28 12:52
Adam Cerra,2001.0,0.05,bet365,2026-07-28 12:52
Ollie Wines,2001.0,0.05,bet365,2026-07-28 12:52
Sam Switkowski,2001.0,0.05,bet365,2026-07-28 12:52
Jake Stringer,2001.0,0.05,bet365,2026-07-28 12:52
Nick Daicos,1.2,83.33,Betway,2026-08-03 16:11
Marcus Bontempelli,15.7,6.37,Betfair,2026-08-03 16:11
Bailey Smith,31.0,3.23,Betfair,2026-08-03 16:11
Jordan Dawson,33.0,3.03,Betfair,2026-08-03 16:11
Sam Flanders,39.0,2.56,Betfair,2026-08-03 16:11
Isaac Heeney,67.0,1.49,BetMGM UK,2026-08-03 16:11
Patrick Cripps,69.0,1.45,Betfair,2026-08-03 16:11
Jai Newcombe,81.0,1.23,Betway,2026-08-03 16:11
Lachie Neale,81.0,1.23,bet365,2026-08-03 16:11
Kysaiah Pickett,81.0,1.23,Skybet,2026-08-03 16:11
Luke Jackson,83.0,1.2,Betfair,2026-08-03 16:11
Nasiah Wanganeen-Milera,151.0,0.66,Betway,2026-08-03 16:11
Harry Sheezel,151.0,0.66,bet365,2026-08-03 16:11
Will Ashcroft,167.0,0.6,Betfair,2026-08-03 16:11
Ed Richards,251.0,0.4,bet365,2026-08-03 16:11
Andrew Brayshaw,251.0,0.4,bet365,2026-08-03 16:11
Max Gawn,251.0,0.4,bet365,2026-08-03 16:11
Nic Martin,251.0,0.4,bet365,2026-08-03 16:11
Chad Warner,251.0,0.4,bet365,2026-08-03 16:11
Luke Davies-Uniacke,251.0,0.4,bet365,2026-08-03 16:11
Murphy Reid,251.0,0.4,Unibet,2026-08-03 16:11
Christian Petracca,255.0,0.39,Betfair,2026-08-03 16:11
Harvey Langford,490.0,0.2,Betfair,2026-08-03 16:11
Sam Walsh,501.0,0.2,bet365,2026-08-03 16:11
Izak Rankine,501.0,0.2,bet365,2026-08-03 16:11
Matthew Rowell,501.0,0.2,BetMGM UK,2026-08-03 16:11
Clayton Oliver,501.0,0.2,bet365,2026-08-03 16:11
Josh Rachele,501.0,0.2,bet365,2026-08-03 16:11
Harley Reid,501.0,0.2,bet365,2026-08-03 16:11
Nick Watson,501.0,0.2,bet365,2026-08-03 16:11
Max Holmes,501.0,0.2,bet365,2026-08-03 16:11
Josh Treacy,501.0,0.2,BetMGM UK,2026-08-03 16:11
Finn Callaghan,501.0,0.2,bet365,2026-08-03 16:11
Noah Anderson,501.0,0.2,bet365,2026-08-03 16:11
Jack Steele,588.0,0.17,Betfair,2026-08-03 16:11
Brodie Grundy,588.0,0.17,Betfair,2026-08-03 16:11
Shai Bolton,647.0,0.15,Betfair,2026-08-03 16:11
Zak Butters,657.0,0.15,Betfair,2026-08-03 16:11
Errol Gulden,784.0,0.13,Betfair,2026-08-03 16:11
Tim Taranto,980.0,0.1,Betfair,2026-08-03 16:11
Jacob Hopper,980.0,0.1,Betfair,2026-08-03 16:11
Dayne Zorko,980.0,0.1,Betfair,2026-08-03 16:11
Samuel Lalor,980.0,0.1,Betfair,2026-08-03 16:11
Sam Darcy,980.0,0.1,Betfair,2026-08-03 16:11
Jye Caldwell,980.0,0.1,Betfair,2026-08-03 16:11
Connor Rozee,980.0,0.1,Betfair,2026-08-03 16:11
Daniel Curtin,980.0,0.1,Betfair,2026-08-03 16:11
Tom De Koning,980.0,0.1,Betfair,2026-08-03 16:11
Dan Houston,980.0,0.1,Betfair,2026-08-03 16:11
Tom Green,980.0,0.1,Betfair,2026-08-03 16:11
Matt Rowell,1001.0,0.1,bet365,2026-08-03 16:11
Caleb Serong,1001.0,0.1,bet365,2026-08-03 16:11
Zach Merrett,1001.0,0.1,bet365,2026-08-03 16:11
Toby Greene,1501.0,0.07,bet365,2026-08-03 16:11
Jake Waterman,1501.0,0.07,bet365,2026-08-03 16:11
Jordan De Goey,1501.0,0.07,bet365,2026-08-03 16:11
Sam Durham,1501.0,0.07,bet365,2026-08-03 16:11
Rowan Marshall,1501.0,0.07,bet365,2026-08-03 16:11
Jack Gunston,1501.0,0.07,bet365,2026-08-03 16:11
Oliver Dempsey,1501.0,0.07,bet365,2026-08-03 16:11
Tom Atkins,1501.0,0.07,bet365,2026-08-03 16:11
Colby McKercher,1501.0,0.07,bet365,2026-08-03 16:11
Hayden Young,1501.0,0.07,bet365,2026-08-03 16:11
Patrick Dangerfield,1501.0,0.07,bet365,2026-08-03 16:11
Nick Blakey,1501.0,0.07,bet365,2026-08-03 16:11
Bailey Dale,1501.0,0.07,bet365,2026-08-03 16:11
Gryan Miers,1501.0,0.07,bet365,2026-08-03 16:11
Darcy Parish,1501.0,0.07,bet365,2026-08-03 16:11
George Hewett,1501.0,0.07,bet365,2026-08-03 16:11
Hugh McCluggage,1501.0,0.07,bet365,2026-08-03 16:11
Callum Mills,1501.0,0.07,bet365,2026-08-03 16:11
Charlie Curnow,1501.0,0.07,bet365,2026-08-03 16:11
Jagga Smith,1501.0,0.07,bet365,2026-08-03 16:11
Max Hall,1501.0,0.07,bet365,2026-08-03 16:11
Jack Ginnivan,1501.0,0.07,bet365,2026-08-03 16:11
Marcus Windhager,1501.0,0.07,bet365,2026-08-03 16:11
Jeremy Cameron,1501.0,0.07,bet365,2026-08-03 16:11
Caleb Daniel,2001.0,0.05,bet365,2026-08-03 16:11
Levi Ashcroft,2001.0,0.05,bet365,2026-08-03 16:11
Rhylee West,2001.0,0.05,bet365,2026-08-03 16:11
Ollie Wines,2001.0,0.05,bet365,2026-08-03 16:11
Adam Cerra,2001.0,0.05,bet365,2026-08-03 16:11
Tanner Bruhn,2001.0,0.05,bet365,2026-08-03 16:11
Lawson Humphries,2001.0,0.05,bet365,2026-08-03 16:11
Tom McCarthy,2001.0,0.05,bet365,2026-08-03 16:11
Ben Keays,2001.0,0.05,bet365,2026-08-03 16:11
Matthew Kennedy,2001.0,0.05,bet365,2026-08-03 16:11
Josh Dunkley,2001.0,0.05,bet365,2026-08-03 16:11
Rory Laird,2001.0,0.05,bet365,2026-08-03 16:11
Mark Blicavs,2001.0,0.05,bet365,2026-08-03 16:11
Josh Daicos,2001.0,0.05,bet365,2026-08-03 16:11
Jaspa Fletcher,2001.0,0.05,bet365,2026-08-03 16:11
Joel Freijah,2001.0,0.05,bet365,2026-08-03 16:11
Dion Prestia,2001.0,0.05,bet365,2026-08-03 16:11
Cam Rayner,2001.0,0.05,bet365,2026-08-03 16:11
Jake Soligo,2001.0,0.05,bet365,2026-08-03 16:11
Jake Stringer,2001.0,0.05,bet365,2026-08-03 16:11
Touk Miller,2001.0,0.05,bet365,2026-08-03 16:11
Scott Pendlebury,2001.0,0.05,bet365,2026-08-03 16:11
Tom Liberatore,2001.0,0.05,bet365,2026-08-03 16:11
Jack Crisp,2001.0,0.05,bet365,2026-08-03 16:11
Lachlan Ash,2001.0,0.05,bet365,2026-08-03 16:11
Josh Ward,2001.0,0.05,bet365,2026-08-03 16:11
James Worpel,2001.0,0.05,bet365,2026-08-03 16:11
Jordan Clark,2001.0,0.05,bet365,2026-08-03 16:11
Daniel Rioli,2001.0,0.05,bet365,2026-08-03 16:11
Tom Stewart,2001.0,0.05,bet365,2026-08-03 16:11
Marc Pittonet,2001.0,0.05,bet365,2026-08-03 16:11
Darcy Cameron,2001.0,0.05,bet365,2026-08-03 16:11
Jack Sinclair,2001.0,0.05,bet365,2026-08-03 16:11
Sam Switkowski,2001.0,0.05,bet365,2026-08-03 16:11
Nick Daicos,1.2,83.33,Betway,2026-08-03 17:01
Marcus Bontempelli,15.7,6.37,Betfair,2026-08-03 17:01
Bailey Smith,31.0,3.23,Betfair,2026-08-03 17:01
Jordan Dawson,33.0,3.03,Betfair,2026-08-03 17:01
Sam Flanders,39.0,2.56,Betfair,2026-08-03 17:01
Isaac Heeney,67.0,1.49,BetMGM UK,2026-08-03 17:01
Patrick Cripps,69.0,1.45,Betfair,2026-08-03 17:01
Jai Newcombe,81.0,1.23,Betway,2026-08-03 17:01
Lachie Neale,81.0,1.23,bet365,2026-08-03 17:01
Kysaiah Pickett,81.0,1.23,Skybet,2026-08-03 17:01
Luke Jackson,83.0,1.2,Betfair,2026-08-03 17:01
Nasiah Wanganeen-Milera,151.0,0.66,Betway,2026-08-03 17:01
Harry Sheezel,151.0,0.66,bet365,2026-08-03 17:01
Will Ashcroft,167.0,0.6,Betfair,2026-08-03 17:01
Ed Richards,251.0,0.4,bet365,2026-08-03 17:01
Andrew Brayshaw,251.0,0.4,bet365,2026-08-03 17:01
Max Gawn,251.0,0.4,bet365,2026-08-03 17:01
Nic Martin,251.0,0.4,bet365,2026-08-03 17:01
Chad Warner,251.0,0.4,bet365,2026-08-03 17:01
Luke Davies-Uniacke,251.0,0.4,bet365,2026-08-03 17:01
Murphy Reid,251.0,0.4,Unibet,2026-08-03 17:01
Christian Petracca,255.0,0.39,Betfair,2026-08-03 17:01
Harvey Langford,490.0,0.2,Betfair,2026-08-03 17:01
Sam Walsh,501.0,0.2,bet365,2026-08-03 17:01
Izak Rankine,501.0,0.2,bet365,2026-08-03 17:01
Matthew Rowell,501.0,0.2,BetMGM UK,2026-08-03 17:01
Clayton Oliver,501.0,0.2,bet365,2026-08-03 17:01
Josh Rachele,501.0,0.2,bet365,2026-08-03 17:01
Harley Reid,501.0,0.2,bet365,2026-08-03 17:01
Nick Watson,501.0,0.2,bet365,2026-08-03 17:01
Max Holmes,501.0,0.2,bet365,2026-08-03 17:01
Josh Treacy,501.0,0.2,BetMGM UK,2026-08-03 17:01
Finn Callaghan,501.0,0.2,bet365,2026-08-03 17:01
Noah Anderson,501.0,0.2,bet365,2026-08-03 17:01
Jack Steele,588.0,0.17,Betfair,2026-08-03 17:01
Brodie Grundy,588.0,0.17,Betfair,2026-08-03 17:01
Shai Bolton,647.0,0.15,Betfair,2026-08-03 17:01
Zak Butters,657.0,0.15,Betfair,2026-08-03 17:01
Errol Gulden,784.0,0.13,Betfair,2026-08-03 17:01
Tim Taranto,980.0,0.1,Betfair,2026-08-03 17:01
Jacob Hopper,980.0,0.1,Betfair,2026-08-03 17:01
Dayne Zorko,980.0,0.1,Betfair,2026-08-03 17:01
Samuel Lalor,980.0,0.1,Betfair,2026-08-03 17:01
Sam Darcy,980.0,0.1,Betfair,2026-08-03 17:01
Jye Caldwell,980.0,0.1,Betfair,2026-08-03 17:01
Connor Rozee,980.0,0.1,Betfair,2026-08-03 17:01
Daniel Curtin,980.0,0.1,Betfair,2026-08-03 17:01
Tom De Koning,980.0,0.1,Betfair,2026-08-03 17:01
Dan Houston,980.0,0.1,Betfair,2026-08-03 17:01
Tom Green,980.0,0.1,Betfair,2026-08-03 17:01
Matt Rowell,1001.0,0.1,bet365,2026-08-03 17:01
Caleb Serong,1001.0,0.1,bet365,2026-08-03 17:01
Zach Merrett,1001.0,0.1,bet365,2026-08-03 17:01
Toby Greene,1501.0,0.07,bet365,2026-08-03 17:01
Jake Waterman,1501.0,0.07,bet365,2026-08-03 17:01
Jordan De Goey,1501.0,0.07,bet365,2026-08-03 17:01
Sam Durham,1501.0,0.07,bet365,2026-08-03 17:01
Rowan Marshall,1501.0,0.07,bet365,2026-08-03 17:01
Jack Gunston,1501.0,0.07,bet365,2026-08-03 17:01
Oliver Dempsey,1501.0,0.07,bet365,2026-08-03 17:01
Tom Atkins,1501.0,0.07,bet365,2026-08-03 17:01
Colby McKercher,1501.0,0.07,bet365,2026-08-03 17:01
Hayden Young,1501.0,0.07,bet365,2026-08-03 17:01
Patrick Dangerfield,1501.0,0.07,bet365,2026-08-03 17:01
Nick Blakey,1501.0,0.07,bet365,2026-08-03 17:01
Bailey Dale,1501.0,0.07,bet365,2026-08-03 17:01
Gryan Miers,1501.0,0.07,bet365,2026-08-03 17:01
Darcy Parish,1501.0,0.07,bet365,2026-08-03 17:01
George Hewett,1501.0,0.07,bet365,2026-08-03 17:01
Hugh McCluggage,1501.0,0.07,bet365,2026-08-03 17:01
Callum Mills,1501.0,0.07,bet365,2026-08-03 17:01
Charlie Curnow,1501.0,0.07,bet365,2026-08-03 17:01
Jagga Smith,1501.0,0.07,bet365,2026-08-03 17:01
Max Hall,1501.0,0.07,bet365,2026-08-03 17:01
Jack Ginnivan,1501.0,0.07,bet365,2026-08-03 17:01
Marcus Windhager,1501.0,0.07,bet365,2026-08-03 17:01
Jeremy Cameron,1501.0,0.07,bet365,2026-08-03 17:01
Caleb Daniel,2001.0,0.05,bet365,2026-08-03 17:01
Levi Ashcroft,2001.0,0.05,bet365,2026-08-03 17:01
Rhylee West,2001.0,0.05,bet365,2026-08-03 17:01
Ollie Wines,2001.0,0.05,bet365,2026-08-03 17:01
Adam Cerra,2001.0,0.05,bet365,2026-08-03 17:01
Tanner Bruhn,2001.0,0.05,bet365,2026-08-03 17:01
Lawson Humphries,2001.0,0.05,bet365,2026-08-03 17:01
Tom McCarthy,2001.0,0.05,bet365,2026-08-03 17:01
Ben Keays,2001.0,0.05,bet365,2026-08-03 17:01
Matthew Kennedy,2001.0,0.05,bet365,2026-08-03 17:01
Josh Dunkley,2001.0,0.05,bet365,2026-08-03 17:01
Rory Laird,2001.0,0.05,bet365,2026-08-03 17:01
Mark Blicavs,2001.0,0.05,bet365,2026-08-03 17:01
Josh Daicos,2001.0,0.05,bet365,2026-08-03 17:01
Jaspa Fletcher,2001.0,0.05,bet365,2026-08-03 17:01
Joel Freijah,2001.0,0.05,bet365,2026-08-03 17:01
Dion Prestia,2001.0,0.05,bet365,2026-08-03 17:01
Cam Rayner,2001.0,0.05,bet365,2026-08-03 17:01
Jake Soligo,2001.0,0.05,bet365,2026-08-03 17:01
Jake Stringer,2001.0,0.05,bet365,2026-08-03 17:01
Touk Miller,2001.0,0.05,bet365,2026-08-03 17:01
Scott Pendlebury,2001.0,0.05,bet365,2026-08-03 17:01
Tom Liberatore,2001.0,0.05,bet365,2026-08-03 17:01
Jack Crisp,2001.0,0.05,bet365,2026-08-03 17:01
Lachlan Ash,2001.0,0.05,bet365,2026-08-03 17:01
Josh Ward,2001.0,0.05,bet365,2026-08-03 17:01
James Worpel,2001.0,0.05,bet365,2026-08-03 17:01
Jordan Clark,2001.0,0.05,bet365,2026-08-03 17:01
Daniel Rioli,2001.0,0.05,bet365,2026-08-03 17:01
Tom Stewart,2001.0,0.05,bet365,2026-08-03 17:01
Marc Pittonet,2001.0,0.05,bet365,2026-08-03 17:01
Darcy Cameron,2001.0,0.05,bet365,2026-08-03 17:01
Jack Sinclair,2001.0,0.05,bet365,2026-08-03 17:01
Sam Switkowski,2001.0,0.05,bet365,2026-08-03 17:01
Nick Daicos,1.2,83.33,Skybet,2026-08-04 13:20
Marcus Bontempelli,15.7,6.37,Betfair,2026-08-04 13:20
Bailey Smith,31.0,3.23,Betfair,2026-08-04 13:20
Jordan Dawson,35.0,2.86,Betfair,2026-08-04 13:20
Sam Flanders,39.0,2.56,Betfair,2026-08-04 13:20
Isaac Heeney,67.0,1.49,BetMGM UK,2026-08-04 13:20
Jai Newcombe,67.0,1.49,bet365,2026-08-04 13:20
Patrick Cripps,69.0,1.45,Betfair,2026-08-04 13:20
Luke Jackson,76.0,1.32,Paddy Power,2026-08-04 13:20
Kysaiah Pickett,81.0,1.23,Skybet,2026-08-04 13:20
Lachie Neale,81.0,1.23,bet365,2026-08-04 13:20
Nasiah Wanganeen-Milera,101.0,0.99,BetMGM UK,2026-08-04 13:20
Harry Sheezel,151.0,0.66,bet365,2026-08-04 13:20
Will Ashcroft,167.0,0.6,Betfair,2026-08-04 13:20
Ed Richards,251.0,0.4,bet365,2026-08-04 13:20
Andrew Brayshaw,251.0,0.4,bet365,2026-08-04 13:20
Max Gawn,251.0,0.4,bet365,2026-08-04 13:20
Nic Martin,251.0,0.4,bet365,2026-08-04 13:20
Chad Warner,251.0,0.4,bet365,2026-08-04 13:20
Luke Davies-Uniacke,251.0,0.4,bet365,2026-08-04 13:20
Murphy Reid,251.0,0.4,Unibet,2026-08-04 13:20
Christian Petracca,255.0,0.39,Betfair,2026-08-04 13:20
Harvey Langford,490.0,0.2,Betfair,2026-08-04 13:20
Sam Walsh,501.0,0.2,bet365,2026-08-04 13:20
Izak Rankine,501.0,0.2,bet365,2026-08-04 13:20
Matthew Rowell,501.0,0.2,BetMGM UK,2026-08-04 13:20
Clayton Oliver,501.0,0.2,bet365,2026-08-04 13:20
Josh Rachele,501.0,0.2,bet365,2026-08-04 13:20
Harley Reid,501.0,0.2,bet365,2026-08-04 13:20
Nick Watson,501.0,0.2,bet365,2026-08-04 13:20
Max Holmes,501.0,0.2,bet365,2026-08-04 13:20
Josh Treacy,501.0,0.2,BetMGM UK,2026-08-04 13:20
Finn Callaghan,501.0,0.2,bet365,2026-08-04 13:20
Noah Anderson,501.0,0.2,bet365,2026-08-04 13:20
Jack Steele,588.0,0.17,Betfair,2026-08-04 13:20
Brodie Grundy,588.0,0.17,Betfair,2026-08-04 13:20
Shai Bolton,647.0,0.15,Betfair,2026-08-04 13:20
Zak Butters,657.0,0.15,Betfair,2026-08-04 13:20
Errol Gulden,784.0,0.13,Betfair,2026-08-04 13:20
Tim Taranto,980.0,0.1,Betfair,2026-08-04 13:20
Jacob Hopper,980.0,0.1,Betfair,2026-08-04 13:20
Dayne Zorko,980.0,0.1,Betfair,2026-08-04 13:20
Samuel Lalor,980.0,0.1,Betfair,2026-08-04 13:20
Sam Darcy,980.0,0.1,Betfair,2026-08-04 13:20
Jye Caldwell,980.0,0.1,Betfair,2026-08-04 13:20
Connor Rozee,980.0,0.1,Betfair,2026-08-04 13:20
Daniel Curtin,980.0,0.1,Betfair,2026-08-04 13:20
Tom De Koning,980.0,0.1,Betfair,2026-08-04 13:20
Dan Houston,980.0,0.1,Betfair,2026-08-04 13:20
Tom Green,980.0,0.1,Betfair,2026-08-04 13:20
Matt Rowell,1001.0,0.1,bet365,2026-08-04 13:20
Caleb Serong,1001.0,0.1,bet365,2026-08-04 13:20
Zach Merrett,1001.0,0.1,bet365,2026-08-04 13:20
Toby Greene,1501.0,0.07,bet365,2026-08-04 13:20
Jake Waterman,1501.0,0.07,bet365,2026-08-04 13:20
Jordan De Goey,1501.0,0.07,bet365,2026-08-04 13:20
Sam Durham,1501.0,0.07,bet365,2026-08-04 13:20
Rowan Marshall,1501.0,0.07,bet365,2026-08-04 13:20
Jack Gunston,1501.0,0.07,bet365,2026-08-04 13:20
Oliver Dempsey,1501.0,0.07,bet365,2026-08-04 13:20
Tom Atkins,1501.0,0.07,bet365,2026-08-04 13:20
Colby McKercher,1501.0,0.07,bet365,2026-08-04 13:20
Hayden Young,1501.0,0.07,bet365,2026-08-04 13:20
Patrick Dangerfield,1501.0,0.07,bet365,2026-08-04 13:20
Nick Blakey,1501.0,0.07,bet365,2026-08-04 13:20
Bailey Dale,1501.0,0.07,bet365,2026-08-04 13:20
Gryan Miers,1501.0,0.07,bet365,2026-08-04 13:20
Darcy Parish,1501.0,0.07,bet365,2026-08-04 13:20
George Hewett,1501.0,0.07,bet365,2026-08-04 13:20
Hugh McCluggage,1501.0,0.07,bet365,2026-08-04 13:20
Callum Mills,1501.0,0.07,bet365,2026-08-04 13:20
Charlie Curnow,1501.0,0.07,bet365,2026-08-04 13:20
Jagga Smith,1501.0,0.07,bet365,2026-08-04 13:20
Max Hall,1501.0,0.07,bet365,2026-08-04 13:20
Jack Ginnivan,1501.0,0.07,bet365,2026-08-04 13:20
Marcus Windhager,1501.0,0.07,bet365,2026-08-04 13:20
Jeremy Cameron,1501.0,0.07,bet365,2026-08-04 13:20
Caleb Daniel,2001.0,0.05,bet365,2026-08-04 13:20
Levi Ashcroft,2001.0,0.05,bet365,2026-08-04 13:20
Rhylee West,2001.0,0.05,bet365,2026-08-04 13:20
Ollie Wines,2001.0,0.05,bet365,2026-08-04 13:20
Adam Cerra,2001.0,0.05,bet365,2026-08-04 13:20
Tanner Bruhn,2001.0,0.05,bet365,2026-08-04 13:20
Lawson Humphries,2001.0,0.05,bet365,2026-08-04 13:20
Tom McCarthy,2001.0,0.05,bet365,2026-08-04 13:20
Ben Keays,2001.0,0.05,bet365,2026-08-04 13:20
Matthew Kennedy,2001.0,0.05,bet365,2026-08-04 13:20
Josh Dunkley,2001.0,0.05,bet365,2026-08-04 13:20
Rory Laird,2001.0,0.05,bet365,2026-08-04 13:20
Mark Blicavs,2001.0,0.05,bet365,2026-08-04 13:20
Josh Daicos,2001.0,0.05,bet365,2026-08-04 13:20
Jaspa Fletcher,2001.0,0.05,bet365,2026-08-04 13:20
Joel Freijah,2001.0,0.05,bet365,2026-08-04 13:20
Dion Prestia,2001.0,0.05,bet365,2026-08-04 13:20
Cam Rayner,2001.0,0.05,bet365,2026-08-04 13:20
Jake Soligo,2001.0,0.05,bet365,2026-08-04 13:20
